"customer_id","rfm_score"
"17643","1-5-5"
"13747","1-1-5"
"15165","1-5-4"
"17908","1-5-5"
"12791","1-2-5"
"18011","1-5-5"
"18074","1-5-3"
"17968","1-5-4"
"14729","1-5-4"
"14237","1-5-5"
"15350","1-5-5"
"16583","1-5-5"
"14142","1-5-4"
"13065","1-5-5"
"16274","1-5-4"
"17976","1-5-4"
"16752","1-5-5"
"12855","1-3-5"
"12738","1-5-5"
"15070","1-1-5"
"16754","1-2-2"
"14576","1-1-5"
"17732","1-5-4"
"15923","1-5-5"
"17925","1-1-5"
"16510","1-5-5"
"17855","1-5-5"
"13108","1-5-4"
"13011","1-3-5"
"15922","1-5-4"
"14589","1-3-5"
"12725","1-5-4"
"17967","1-5-5"
"16926","1-5-5"
"12686","1-5-5"
"14813","1-5-5"
"16718","1-5-3"
"15880","1-5-4"
"18113","1-1-5"
"15899","1-4-5"
"17860","1-5-4"
"16658","1-5-5"
"13807","1-5-5"
"16125","1-5-4"
"15180","1-5-5"
"13786","1-5-5"
"18119","1-5-5"
"13270","1-1-3"
"16858","1-5-4"
"14821","1-2-5"
"16893","1-5-5"
"15332","1-5-2"
"15347","1-5-5"
"16679","1-3-5"
"12441","1-5-5"
"13370","1-5-3"
"15221","1-5-4"
"16781","1-5-4"
"16795","1-5-4"
"17978","1-5-4"
"16065","1-5-4"
"14932","1-5-4"
"15945","1-2-5"
"14355","1-5-5"
"17456","1-5-5"
"16565","1-3-5"
"14082","1-5-5"
"16727","1-5-4"
"17880","1-5-4"
"15723","1-5-5"
"14413","1-5-5"
"17251","1-5-4"
"15454","1-5-5"
"18004","1-5-5"
"15503","1-5-5"
"16665","1-5-5"
"15361","1-5-4"
"17524","1-5-5"
"17303","1-5-4"
"16499","1-5-4"
"16202","1-5-4"
"12797","1-5-4"
"16812","1-5-4"
"13948","1-3-5"
"13295","1-5-5"
"17752","1-1-5"
"17525","1-5-4"
"17551","1-5-4"
"18050","1-5-5"
"15789","1-5-4"
"17496","1-5-4"
"15224","1-5-4"
"17691","1-5-4"
"13874","1-5-3"
"18269","1-5-5"
"14373","1-4-5"
"15204","1-5-4"
"15160","1-4-5"
"12551","1-5-5"
"13033","1-5-5"
"17343","1-5-5"
"15460","1-5-5"
"15279","1-5-4"
"13369","1-5-4"
"12515","1-5-4"
"18176","1-5-4"
"16270","1-5-2"
"12734","1-4-5"
"13922","1-5-5"
"13304","1-5-4"
"15562","1-1-5"
"16282","1-5-5"
"15464","1-5-2"
"15266","1-5-5"
"13187","1-5-5"
"15823","1-5-5"
"12386","1-5-4"
"15607","1-5-5"
"15649","1-1-3"
"14889","1-5-5"
"12489","1-5-4"
"12793","1-5-3"
"17128","1-5-5"
"18032","1-5-5"
"12651","1-5-5"
"16850","1-5-4"
"15326","1-5-4"
"17569","1-5-4"
"13144","1-3-5"
"12736","1-4-5"
"15346","1-5-4"
"16351","1-5-5"
"14270","1-5-3"
"14185","1-3-5"
"17406","1-5-1"
"18085","1-5-3"
"15447","1-5-5"
"16315","1-5-5"
"15510","1-1-5"
"15100","1-1-3"
"12672","1-5-5"
"18106","1-5-4"
"13385","1-5-3"
"18212","1-5-5"
"13859","1-5-5"
"15316","1-1-5"
"14238","1-5-5"
"12872","1-5-3"
"18233","1-1-4"
"13898","1-5-5"
"15395","1-5-5"
"12346","1-1-1"
"14090","1-1-5"
"12665","1-3-5"
"15171","1-5-2"
"15422","1-5-5"
"15262","1-5-5"
"17862","1-5-4"
"12402","1-5-5"
"13008","1-5-5"
"16387","1-4-5"
"12652","1-5-3"
"12829","1-5-4"
"15174","1-5-5"
"17890","1-5-3"
"13284","1-5-5"
"14068","1-5-4"
"15167","1-5-5"
"17714","1-5-5"
"13551","1-4-5"
"14368","1-5-5"
"15820","1-5-5"
"14439","1-5-1"
"15052","1-5-5"
"14130","1-5-4"
"14782","1-5-5"
"14248","1-5-4"
"17094","1-5-4"
"15213","1-5-4"
"16757","1-5-5"
"16222","1-5-3"
"13002","1-5-5"
"13703","1-1-5"
"15222","1-5-3"
"17118","1-5-5"
"15661","1-4-4"
"12591","1-5-4"
"16124","1-5-5"
"12764","1-5-2"
"13328","1-5-2"
"12501","1-5-1"
"12574","1-5-5"
"12735","1-5-3"
"12377","1-5-2"
"17062","1-5-3"
"13161","1-5-5"
"15415","1-5-3"
"17431","1-5-4"
"13615","1-5-4"
"15448","1-5-3"
"17239","1-5-4"
"17619","1-5-5"
"13600","1-5-5"
"18095","1-5-3"
"15881","1-5-3"
"13506","1-5-4"
"15107","1-5-4"
"14850","1-5-4"
"13494","1-5-4"
"14496","1-5-3"
"17356","1-5-5"
"12373","1-5-4"
"15940","1-2-5"
"14549","1-5-4"
"17912","1-5-4"
"17223","1-5-4"
"12350","1-5-4"
"14457","1-4-5"
"15226","1-5-5"
"14411","1-5-2"
"12559","1-5-3"
"13581","1-5-5"
"16030","1-5-4"
"13800","1-5-3"
"17226","1-5-4"
"17517","1-5-5"
"13963","1-5-3"
"17291","1-1-3"
"15090","1-5-4"
"14438","1-5-5"
"17392","1-5-4"
"12956","1-5-5"
"13584","1-5-5"
"15808","1-5-1"
"14600","1-5-4"
"13809","1-5-5"
"15753","1-1-5"
"17881","1-5-5"
"17859","1-5-5"
"15843","1-5-5"
"12401","1-5-5"
"17358","1-5-4"
"17843","1-5-5"
"15970","1-5-4"
"16405","1-3-5"
"12561","1-5-5"
"16425","1-5-4"
"17850","1-5-1"
"16725","1-5-3"
"13706","1-5-4"
"16403","1-5-5"
"18159","1-5-3"
"12410","1-5-3"
"13819","1-5-2"
"17334","1-5-4"
"14497","1-5-4"
"18250","1-5-4"
"13672","1-5-5"
"16084","1-5-4"
"16897","1-5-4"
"15236","1-5-4"
"17829","1-5-3"
"14431","1-5-4"
"14176","1-5-3"
"14935","1-5-2"
"13893","1-5-3"
