"customer_id","rfm_score"
"17908","1-1-4"
"18074","1-1-3"
"13065","1-1-5"
"18011","1-1-5"
"17968","1-1-4"
"16583","1-1-5"
"14729","1-1-4"
"15350","1-1-5"
"17643","1-1-5"
"14237","1-1-5"
"16274","1-1-4"
"13747","1-1-5"
"14142","1-1-4"
"12791","1-1-5"
"15165","1-1-3"
"12855","1-1-5"
"17732","1-1-4"
"13011","1-1-5"
"17547","1-1-5"
"13958","1-1-5"
"14576","1-1-5"
"12738","1-1-5"
"13108","1-1-4"
"15923","1-1-5"
"15922","1-2-4"
"16754","1-1-1"
"16510","1-1-4"
"15070","1-1-5"
"16752","1-1-5"
"17925","1-1-4"
"17976","1-1-4"
"17855","1-1-5"
"16995","1-1-5"
"12686","1-1-5"
"16926","1-1-5"
"14679","1-1-5"
"14213","1-1-5"
"12725","1-1-4"
"14589","1-1-5"
"17967","1-1-5"
"16718","1-1-3"
"14813","1-2-5"
"15880","1-2-4"
"18113","1-1-5"
"15899","1-1-5"
"16658","1-1-5"
"16138","1-1-5"
"17860","1-1-4"
"13786","1-1-5"
"13807","1-1-5"
"18119","1-1-5"
"16125","1-1-4"
"15180","1-1-5"
"15221","1-2-5"
"16893","1-1-5"
"16252","1-1-5"
"13370","1-2-3"
"13270","1-1-3"
"14821","1-1-5"
"16679","1-1-5"
"12441","1-1-5"
"15347","1-1-5"
"12870","1-1-5"
"16858","1-2-4"
"15332","1-4-2"
"12605","1-1-5"
"17307","1-1-5"
"14355","1-1-5"
"16579","1-1-5"
"17978","1-1-4"
"17456","1-1-4"
"14932","1-1-4"
"16065","1-1-4"
"15945","1-1-5"
"16795","1-1-4"
"16781","1-2-4"
"14082","1-1-5"
"15723","1-1-5"
"16727","1-1-4"
"17880","1-1-4"
"16565","1-1-5"
"14413","1-1-5"
"15454","1-1-5"
"15503","1-1-5"
"17251","1-1-4"
"18004","1-1-5"
"16665","1-1-5"
"15361","1-1-4"
"17303","1-1-4"
"17524","1-1-5"
"16499","1-5-4"
